Date,Open,High,Low,Close,Volume
2022-01-04,1.1285,1.1298,1.1323,1.1272,0
2022-01-05,1.1313,1.1287,1.1347,1.1277,0
2022-01-06,1.1291,1.1314,1.1332,1.1285,0
2022-01-07,1.1359,1.1293,1.1365,1.1289,0
2022-01-10,1.1324,1.1353,1.1362,1.1285,0
2022-01-11,1.1364,1.1325,1.1375,1.1313,0
2022-01-12,1.1442,1.1366,1.1453,1.1354,0
2022-01-13,1.1453,1.1443,1.1482,1.1435,0
2022-01-14,1.1414,1.1454,1.1484,1.1398,0
2022-01-17,1.1407,1.1414,1.1436,1.1392,0
2022-01-18,1.1325,1.1408,1.1422,1.1314,0
2022-01-19,1.1341,1.1321,1.1358,1.1318,0
2022-01-20,1.131,1.1342,1.137,1.1302,0
2022-01-21,1.134,1.1312,1.136,1.13,0
2022-01-24,1.1323,1.1343,1.1346,1.129,0
2022-01-25,1.1299,1.1324,1.133,1.1263,0
2022-01-26,1.1237,1.1301,1.1312,1.1235,0
2022-01-27,1.1143,1.124,1.1244,1.1132,0
2022-01-28,1.1143,1.1146,1.1174,1.1121,0
2022-01-31,1.1233,1.1147,1.1249,1.1138,0
2022-02-01,1.1269,1.1234,1.1279,1.1221,0
2022-02-02,1.1303,1.127,1.1331,1.1266,0
2022-02-03,1.1438,1.1306,1.1452,1.1267,0
2022-02-04,1.1446,1.1439,1.1485,1.1411,0
2022-02-07,1.1442,1.1468,1.1469,1.1415,0
2022-02-08,1.1414,1.1443,1.145,1.1395,0
2022-02-09,1.1422,1.1416,1.1449,1.1402,0
2022-02-10,1.1427,1.1429,1.1496,1.1374,0
2022-02-11,1.1349,1.1428,1.1431,1.1329,0
2022-02-14,1.1305,1.1344,1.137,1.1279,0
2022-02-15,1.1356,1.1307,1.1369,1.1301,0
2022-02-16,1.1373,1.136,1.1396,1.1344,0
2022-02-17,1.136,1.1374,1.1386,1.1322,0
2022-02-18,1.1321,1.1362,1.1378,1.1314,0
2022-02-21,1.131,1.1315,1.1391,1.1306,0
2022-02-22,1.1325,1.1312,1.1367,1.1287,0
2022-02-23,1.1309,1.1327,1.1359,1.13,0
2022-02-24,1.1191,1.1313,1.1314,1.1106,0
2022-02-25,1.1267,1.1192,1.1275,1.1165,0
2022-02-28,1.1219,1.1179,1.1247,1.1122,0
2022-03-01,1.1126,1.1218,1.1234,1.109,0
2022-03-02,1.1121,1.1127,1.1147,1.1057,0
2022-03-03,1.1064,1.1118,1.1125,1.1033,0
2022-03-04,1.0926,1.1068,1.1069,1.0886,0
2022-03-07,1.0852,1.0953,1.0953,1.0805,0
2022-03-08,1.0899,1.0855,1.096,1.0848,0
2022-03-09,1.1075,1.0903,1.1096,1.089,0
2022-03-10,1.0983,1.1075,1.1121,1.0976,0
2022-03-11,1.0909,1.0984,1.1044,1.0901,0
2022-03-14,1.0939,1.0943,1.0994,1.09,0
2022-03-15,1.0951,1.094,1.102,1.0926,0
2022-03-16,1.1032,1.0956,1.1048,1.0948,0
2022-03-17,1.1089,1.1036,1.1138,1.1008,0
2022-03-18,1.1055,1.1091,1.112,1.1003,0
2022-03-21,1.1014,1.1059,1.107,1.101,0
2022-03-22,1.1027,1.1018,1.1047,1.096,0
2022-03-23,1.1004,1.1027,1.1044,1.0963,0
2022-03-24,1.0996,1.1004,1.1014,1.0965,0
2022-03-25,1.0981,1.0994,1.1039,1.0979,0
2022-03-28,1.0978,1.0989,1.1,1.0944,0
2022-03-29,1.1085,1.098,1.1137,1.097,0
2022-03-30,1.1156,1.1087,1.1171,1.1083,0
2022-03-31,1.1065,1.1158,1.1185,1.1061,0
2022-04-01,1.1053,1.1065,1.1077,1.1027,0
2022-04-04,1.097,1.1039,1.1056,1.096,0
2022-04-05,1.0903,1.0973,1.099,1.0899,0
2022-04-06,1.0893,1.0906,1.0939,1.0874,0
2022-04-07,1.0878,1.0893,1.0939,1.0864,0
2022-04-08,1.0876,1.0879,1.0892,1.0836,0
2022-04-11,1.0883,1.0935,1.0951,1.0872,0
2022-04-12,1.0826,1.0882,1.0905,1.0821,0
2022-04-13,1.0885,1.083,1.0896,1.0809,0
2022-04-14,1.0827,1.0887,1.0925,1.0757,0
2022-04-15,1.0806,1.0828,1.0832,1.0796,0
2022-04-18,1.078,1.0805,1.0822,1.0769,0
2022-04-19,1.0786,1.0783,1.0815,1.0761,0
2022-04-20,1.085,1.0788,1.0868,1.0783,0
2022-04-21,1.0836,1.0853,1.0937,1.0824,0
2022-04-22,1.0794,1.0838,1.0853,1.077,0
2022-04-25,1.0711,1.0841,1.0842,1.0697,0
2022-04-26,1.0636,1.0713,1.074,1.0635,0
2022-04-27,1.0555,1.0638,1.0655,1.0513,0
2022-04-28,1.0494,1.0557,1.0566,1.0471,0
2022-04-29,1.0541,1.0497,1.0592,1.049,0
2022-05-02,1.0504,1.0548,1.0568,1.0489,0
2022-05-03,1.052,1.05,1.0577,1.049,0
2022-05-04,1.0621,1.0514,1.063,1.0504,0
2022-05-05,1.054,1.0621,1.0641,1.0491,0
2022-05-06,1.0551,1.0542,1.0599,1.0481,0
2022-05-09,1.0555,1.055,1.0592,1.0493,0
2022-05-10,1.0527,1.0556,1.0585,1.0524,0
2022-05-11,1.0511,1.0527,1.0576,1.05,0
2022-05-12,1.0379,1.051,1.0529,1.0352,0
2022-05-13,1.0411,1.0377,1.0419,1.0348,0
2022-05-16,1.0431,1.0404,1.0442,1.0387,0
2022-05-17,1.0547,1.0432,1.0555,1.0427,0
2022-05-18,1.0466,1.0548,1.0563,1.0458,0
2022-05-19,1.0586,1.0468,1.0607,1.0459,0
2022-05-20,1.056,1.0584,1.0598,1.0531,0
2022-05-23,1.0689,1.057,1.0697,1.0556,0
2022-05-24,1.0734,1.0688,1.0748,1.0659,0
2022-05-25,1.068,1.0734,1.0738,1.0641,0
2022-05-26,1.0724,1.0682,1.0731,1.0661,0
2022-05-27,1.0727,1.0725,1.0764,1.0695,0
2022-05-30,1.0777,1.0735,1.0786,1.0724,0
2022-05-31,1.0733,1.0777,1.0778,1.0677,0
2022-06-01,1.0646,1.0732,1.0738,1.0625,0
2022-06-02,1.0745,1.0647,1.075,1.0643,0
2022-06-03,1.0718,1.0745,1.0764,1.0703,0
2022-06-06,1.0694,1.072,1.0751,1.0682,0
2022-06-07,1.0699,1.0693,1.0714,1.065,0
2022-06-08,1.0714,1.0698,1.0748,1.067,0
2022-06-09,1.0614,1.0716,1.0773,1.0609,0
2022-06-10,1.0515,1.0615,1.0642,1.0504,0
2022-06-13,1.0408,1.0512,1.0519,1.0398,0
2022-06-14,1.0414,1.0409,1.0484,1.0395,0
2022-06-15,1.0443,1.0415,1.0507,1.0357,0
2022-06-16,1.0547,1.044,1.0601,1.0379,0
2022-06-17,1.0498,1.0547,1.0559,1.0443,0
2022-06-20,1.0509,1.047,1.0545,1.047,0
2022-06-21,1.0525,1.0509,1.0582,1.0506,0
2022-06-22,1.0565,1.0525,1.0605,1.0467,0
2022-06-23,1.0523,1.0565,1.0581,1.0481,0
2022-06-24,1.0554,1.0524,1.0571,1.051,0
2022-06-27,1.0583,1.0553,1.0614,1.0548,0
2022-06-28,1.0518,1.0583,1.0606,1.0502,0
2022-06-29,1.0439,1.0516,1.0535,1.0433,0
2022-06-30,1.0482,1.0439,1.0488,1.0381,0
2022-07-01,1.0428,1.0479,1.0485,1.0365,0
2022-07-04,1.0421,1.0422,1.0462,1.0415,0
2022-07-05,1.0266,1.0417,1.0448,1.0233,0
2022-07-06,1.0181,1.0266,1.0276,1.016,0
2022-07-07,1.0159,1.0179,1.0221,1.0142,0
2022-07-08,1.0183,1.0158,1.0191,1.007,0
2022-07-11,1.0039,1.0172,1.0183,1.0032,0
2022-07-12,1.0036,1.0038,1.0073,0.9998,0
2022-07-13,1.006,1.0038,1.0122,0.9997,0
