Date,Open,High,Low,Close,Volume
2023-02-02,1.091,1.0988,1.1033,1.0883,0
2023-02-03,1.0793,1.0907,1.0939,1.079,0
2023-02-06,1.073,1.0789,1.0798,1.0708,0
2023-02-07,1.0723,1.0726,1.0766,1.0665,0
2023-02-08,1.0709,1.0724,1.076,1.0708,0
2023-02-09,1.0736,1.0709,1.0792,1.0708,0
2023-02-10,1.0675,1.0736,1.0752,1.0664,0
2023-02-13,1.072,1.0678,1.0729,1.0654,0
2023-02-14,1.0735,1.0721,1.0804,1.0705,0
2023-02-15,1.0689,1.0737,1.0744,1.0659,0
2023-02-16,1.0668,1.0688,1.0722,1.0653,0
2023-02-17,1.0694,1.0672,1.0698,1.0611,0
2023-02-20,1.0682,1.0686,1.0704,1.0669,0
2023-02-21,1.0646,1.0684,1.0697,1.0636,0
2023-02-22,1.0601,1.0646,1.0663,1.0597,0
2023-02-23,1.0595,1.0603,1.0627,1.0575,0
2023-02-24,1.0546,1.0595,1.0614,1.0534,0
2023-02-27,1.0607,1.054,1.0619,1.0531,0
2023-02-28,1.0576,1.0603,1.0645,1.0572,0
2023-03-01,1.0665,1.0574,1.0691,1.0564,0
2023-03-02,1.0596,1.0666,1.0672,1.0574,0
2023-03-03,1.0632,1.0597,1.0638,1.0586,0
2023-03-06,1.0678,1.0618,1.0694,1.0614,0
2023-03-07,1.0547,1.0679,1.0694,1.0544,0
2023-03-08,1.0544,1.0547,1.0573,1.0523,0
2023-03-09,1.058,1.0543,1.059,1.0536,0
2023-03-10,1.0643,1.0578,1.07,1.0572,0
2023-03-13,1.0729,1.0645,1.0748,1.0645,0
2023-03-14,1.0732,1.0729,1.0749,1.0677,0
2023-03-15,1.0575,1.0731,1.0759,1.0514,0
2023-03-16,1.0605,1.0576,1.0635,1.0548,0
2023-03-17,1.0666,1.0607,1.0685,1.0603,0
2023-03-20,1.0719,1.0695,1.073,1.063,0
2023-03-21,1.0767,1.072,1.0788,1.0702,0
2023-03-22,1.0855,1.0767,1.0912,1.0757,0
2023-03-23,1.083,1.0854,1.0929,1.0823,0
2023-03-24,1.0759,1.0827,1.0838,1.0712,0
2023-03-27,1.0796,1.0765,1.0799,1.0743,0
2023-03-28,1.0843,1.0797,1.0848,1.0793,0
2023-03-29,1.0843,1.0842,1.0871,1.0816,0
2023-03-30,1.0901,1.0842,1.0926,1.0822,0
2023-03-31,1.0839,1.0904,1.0925,1.0835,0
2023-04-03,1.0895,1.0845,1.0916,1.0786,0
2023-04-04,1.0952,1.09,1.0973,1.0881,0
2023-04-05,1.0903,1.0951,1.0969,1.0889,0
2023-04-06,1.092,1.0901,1.0937,1.0883,0
2023-04-07,1.0897,1.0921,1.0924,1.0875,0
2023-04-10,1.0859,1.0899,1.0917,1.083,0
2023-04-11,1.091,1.0861,1.0927,1.0855,0
2023-04-12,1.0989,1.0912,1.1,1.0909,0
2023-04-13,1.1044,1.099,1.1067,1.0975,0
2023-04-14,1.1,1.1042,1.1075,1.0971,0
2023-04-17,1.0926,1.0988,1.0999,1.0907,0
2023-04-18,1.0971,1.0922,1.0982,1.092,0
2023-04-19,1.0954,1.097,1.0983,1.0915,0
2023-04-20,1.0967,1.0954,1.0989,1.0931,0
2023-04-21,1.0987,1.0968,1.0993,1.0937,0
2023-04-24,1.1041,1.0989,1.105,1.0964,0
2023-04-25,1.0972,1.1045,1.1066,1.0962,0
2023-04-26,1.104,1.097,1.1095,1.0965,0
2023-04-27,1.1027,1.104,1.1063,1.0991,0
2023-04-28,1.102,1.1026,1.1044,1.0961,0
2023-05-01,1.0975,1.1034,1.1036,1.0962,0
2023-05-02,1.0999,1.0971,1.1008,1.094,0
2023-05-03,1.1059,1.0998,1.1091,1.0998,0
2023-05-04,1.1011,1.1058,1.1091,1.0984,0
2023-05-05,1.1017,1.1011,1.1047,1.0965,0
2023-05-08,1.1004,1.1031,1.1053,1.0998,0
2023-05-09,1.096,1.1004,1.1005,1.0939,0
2023-05-10,1.098,1.096,1.1006,1.094,0
2023-05-11,1.0914,1.0979,1.0997,1.0898,0
2023-05-12,1.0848,1.0914,1.0935,1.0846,0
2023-05-15,1.0872,1.0854,1.089,1.0843,0
2023-05-16,1.0861,1.0872,1.0904,1.0853,0
2023-05-17,1.0839,1.0861,1.0873,1.0808,0
2023-05-18,1.0769,1.0838,1.0847,1.0761,0
2023-05-19,1.0802,1.077,1.0828,1.0758,0
2023-05-22,1.0811,1.0813,1.0831,1.0794,0
2023-05-23,1.0768,1.081,1.082,1.0758,0
2023-05-24,1.0748,1.0773,1.0801,1.0746,0
2023-05-25,1.0719,1.0748,1.0756,1.0706,0
2023-05-26,1.0724,1.072,1.0758,1.07,0
2023-05-29,1.0705,1.0724,1.0743,1.0704,0
2023-05-30,1.0733,1.0706,1.0746,1.0671,0
2023-05-31,1.0688,1.0734,1.0736,1.0633,0
2023-06-01,1.0761,1.0688,1.0768,1.066,0
