Date,Open,High,Low,Close,Volume
2023-03-01,1.0665,1.0574,1.0691,1.0564,0
2023-03-02,1.0596,1.0666,1.0672,1.0574,0
2023-03-03,1.0632,1.0597,1.0638,1.0586,0
2023-03-06,1.0678,1.0618,1.0694,1.0614,0
2023-03-07,1.0547,1.0679,1.0694,1.0544,0
2023-03-08,1.0544,1.0547,1.0573,1.0523,0
2023-03-09,1.058,1.0543,1.059,1.0536,0
2023-03-10,1.0643,1.0578,1.07,1.0572,0
2023-03-13,1.0729,1.0645,1.0748,1.0645,0
2023-03-14,1.0732,1.0729,1.0749,1.0677,0
2023-03-15,1.0575,1.0731,1.0759,1.0514,0
2023-03-16,1.0605,1.0576,1.0635,1.0548,0
2023-03-17,1.0666,1.0607,1.0685,1.0603,0
2023-03-20,1.0719,1.0695,1.073,1.063,0
2023-03-21,1.0767,1.072,1.0788,1.0702,0
2023-03-22,1.0855,1.0767,1.0912,1.0757,0
2023-03-23,1.083,1.0854,1.0929,1.0823,0
2023-03-24,1.0759,1.0827,1.0838,1.0712,0
2023-03-27,1.0796,1.0765,1.0799,1.0743,0
2023-03-28,1.0843,1.0797,1.0848,1.0793,0
2023-03-29,1.0843,1.0842,1.0871,1.0816,0
2023-03-30,1.0901,1.0842,1.0926,1.0822,0
2023-03-31,1.0839,1.0904,1.0925,1.0835,0
2023-04-03,1.0895,1.0845,1.0916,1.0786,0
2023-04-04,1.0952,1.09,1.0973,1.0881,0
