Date,Open,High,Low,Close,Adj Close,Volume
2024-01-01,519.61,523.05,519.6,519.22,519.22,0
2024-01-02,519.61,523.44,519.25,519.22,519.22,0
2024-01-03,519.25,522.84,519.17,519.22,519.22,0
2024-01-04,519.25,522.15,518.75,519.22,519.22,0
2024-01-05,519.25,521.68,518.19,519.22,519.22,0
2024-01-08,519.61,522.73,517.79,520.72,520.72,0
2024-01-09,519.61,523.42,518.04,520.72,520.72,0
2024-01-10,519.61,524.04,518.5,520.0,520.0,0
2024-01-11,520.72,523.87,519.03,519.97,519.97,0
2024-01-12,519.99,522.09,518.48,519.47,519.47,0
2024-01-15,519.74,522.31,518.03,519.47,519.47,0
2024-01-16,519.74,522.31,516.3,516.0,516.0,0
2024-01-17,516.5,519.03,514.27,515.22,515.22,0
2024-01-18,515.61,517.72,513.77,514.5,514.5,0
2024-01-19,514.75,520.5,514.32,514.22,514.22,0
2024-01-22,517.59,517.59,513.51,513.5,513.5,0
2024-01-23,513.75,516.63,512.91,513.47,513.47,0
2024-01-24,513.74,516.26,512.41,512.22,512.22,0
2024-01-25,512.61,515.76,512.08,512.22,512.22,0
2024-01-26,512.61,514.76,511.03,509.07,509.07,0
2024-01-29,511.04,515.48,511.04,512.73,512.73,0
2024-01-30,512.86,516.12,511.78,512.73,512.73,0
2024-01-31,513.64,516.9,511.78,512.73,512.73,0
2024-02-01,512.86,518.11,512.85,515.45,515.45,0
2024-02-02,516.22,520.5,514.5,516.72,516.72,0
2024-02-05,515.65,520.5,514.78,516.72,516.72,0
2024-02-06,516.86,519.3,514.55,516.72,516.72,0
2024-02-07,516.86,519.79,515.55,516.72,516.72,0
2024-02-08,516.86,519.73,515.8,516.4,516.4,0
2024-02-09,516.7,519.47,515.76,516.4,516.4,0
2024-02-12,516.7,519.38,515.76,516.4,516.4,0
2024-02-13,516.7,519.78,515.79,517.2,517.2,0
2024-02-14,517.3,520.41,515.99,517.47,517.47,0
2024-02-15,517.74,519.24,515.78,516.1,516.1,0
2024-02-16,516.42,519.13,514.23,513.47,513.47,0
2024-02-19,514.23,516.54,513.05,513.4,513.4,0
2024-02-20,514.2,516.69,513.21,511.75,511.75,0
2024-02-21,513.38,516.29,512.86,514.5,514.5,0
2024-02-22,514.75,516.35,512.86,514.0,514.0,0
2024-02-23,514.5,516.38,513.39,513.08,513.08,0
2024-02-26,514.04,516.38,513.14,514.0,514.0,0
2024-02-27,514.5,516.7,513.14,513.47,513.47,0
2024-02-28,514.24,516.7,511.99,508.98,508.98,0
2024-02-29,511.99,515.13,511.99,509.05,509.05,0
2024-03-01,512.03,515.35,512.03,513.22,513.22,0
2024-03-04,514.11,515.68,511.5,512.72,512.72,0
2024-03-05,513.86,514.34,512.25,512.72,512.72,0
2024-03-06,513.86,514.32,511.5,509.45,509.45,0
2024-03-07,512.22,512.78,508.5,511.11,511.11,0
2024-03-08,511.11,511.83,510.02,507.73,507.73,0
2024-03-11,511.36,511.52,509.17,507.98,507.98,0
2024-03-12,511.49,511.49,507.46,510.48,510.48,0
2024-03-13,510.48,510.74,506.55,510.74,510.74,0
2024-03-14,510.74,511.02,505.96,509.61,509.61,0
2024-03-15,509.61,509.61,505.24,508.74,508.74,0
2024-03-18,506.61,509.27,502.5,500.92,500.92,0
2024-03-19,504.45,504.45,502.14,499.28,499.28,0
2024-03-20,502.8,503.74,501.5,500.67,500.67,0
2024-03-21,503.74,508.33,502.13,508.11,508.11,0
2024-03-22,508.11,508.11,501.0,500.92,500.92,0
2024-03-25,503.99,506.26,501.5,499.4,499.4,0
2024-03-26,502.48,508.64,501.5,508.29,508.29,0
2024-03-27,508.29,508.29,500.5,500.72,500.72,0
2024-03-28,502.39,503.66,500.0,499.39,499.39,0
2024-03-29,502.46,502.99,500.5,499.39,499.39,0
2024-04-01,502.46,502.99,500.5,498.0,498.0,0
2024-04-02,502.46,502.56,500.77,497.74,497.74,0
2024-04-03,499.5,509.01,499.5,509.01,509.01,0
2024-04-04,509.01,509.43,499.5,509.01,509.01,0
2024-04-05,509.01,509.01,499.5,508.86,508.86,0
2024-04-08,503.36,508.86,499.5,508.36,508.36,0
2024-04-09,508.36,508.61,500.0,508.61,508.61,0
2024-04-10,508.61,509.43,501.5,508.38,508.38,0
2024-04-11,508.38,508.38,500.3,508.23,508.23,0
2024-04-12,508.23,508.23,500.11,498.0,498.0,0
2024-04-15,501.03,509.01,500.38,497.76,497.76,0
2024-04-16,500.83,501.54,500.38,498.77,498.77,0
2024-04-17,500.74,502.0,500.38,497.97,497.97,0
2024-04-18,501.05,509.01,500.46,497.92,497.92,0
2024-04-19,500.99,502.62,500.46,499.09,499.09,0
2024-04-22,500.57,500.58,500.0,497.44,497.44,0
2024-04-23,500.82,502.33,500.77,498.77,498.77,0
2024-04-24,501.85,501.95,500.5,498.48,498.48,0
2024-04-25,502.3,508.08,500.5,508.08,508.08,0
2024-04-26,502.67,508.35,502.24,501.7,501.7,0
2024-04-29,501.96,508.36,499.5,508.36,508.36,0
2024-04-30,508.36,510.24,502.93,510.24,510.24,0
2024-05-01,510.24,510.24,503.93,510.24,510.24,0
2024-05-02,510.24,511.08,506.05,511.08,511.08,0
2024-05-03,511.08,511.61,506.18,508.22,508.22,0
2024-05-06,507.88,511.61,506.97,507.73,507.73,0
2024-05-07,511.36,511.88,506.97,508.75,508.75,0
2024-05-08,511.88,511.88,507.61,508.75,508.75,0
2024-05-09,511.88,512.46,509.3,509.92,509.92,0
2024-05-10,512.46,512.46,508.04,509.92,509.92,0
2024-05-13,512.28,512.55,511.02,509.7,509.7,0
2024-05-14,512.35,512.67,510.92,509.7,509.7,0
2024-05-15,512.35,512.38,508.45,508.65,508.65,0
2024-05-16,511.83,511.83,508.88,508.65,508.65,0
2024-05-17,511.83,511.83,508.26,508.65,508.65,0
2024-05-20,508.6,512.35,508.2,509.7,509.7,0
2024-05-21,512.35,512.73,508.46,510.47,510.47,0
2024-05-22,512.73,513.85,510.67,510.47,510.47,0
2024-05-23,512.73,513.64,512.21,510.47,510.47,0
2024-05-24,512.73,516.16,512.21,513.45,513.45,0
2024-05-27,514.22,517.53,513.68,513.45,513.45,0
2024-05-28,514.22,520.63,513.68,518.47,518.47,0
2024-05-29,519.23,524.58,513.01,519.85,519.85,0
2024-05-30,520.92,524.58,520.92,520.02,520.02,0
2024-05-31,521.01,525.73,521.0,520.02,520.02,0
2024-06-03,521.01,530.45,521.0,528.9,528.9,0
2024-06-04,529.95,531.72,522.5,528.9,528.9,0
2024-06-05,529.95,532.52,522.5,526.13,526.13,0
2024-06-06,528.57,530.5,528.02,526.13,526.13,0
2024-06-07,528.57,531.19,528.02,527.97,527.97,0
2024-06-10,529.49,532.34,528.99,529.85,529.85,0
2024-06-11,530.42,532.9,528.99,528.5,528.5,0
2024-06-12,529.75,531.58,525.35,523.47,523.47,0
2024-06-13,527.24,528.67,524.36,523.47,523.47,0
2024-06-14,527.24,527.24,523.31,525.5,525.5,0
2024-06-17,525.5,526.5,521.07,525.5,525.5,0
2024-06-18,525.5,526.5,519.85,522.72,522.72,0
2024-06-19,522.72,523.5,518.3,522.72,522.72,0
2024-06-20,522.72,523.5,517.83,522.72,522.72,0
2024-06-21,522.72,523.51,517.83,519.02,519.02,0
2024-06-24,522.51,524.55,518.0,520.85,520.85,0
2024-06-25,523.42,525.84,522.52,519.63,519.63,0
2024-06-26,522.81,525.84,522.32,519.63,519.63,0
2024-06-27,522.81,523.92,522.09,521.0,521.0,0
2024-06-28,523.5,528.16,522.09,523.47,523.47,0
2024-07-01,528.16,528.16,522.5,523.47,523.47,0
