Date,Open,High,Low,Close,Adj Close,Volume
2022-01-04,641.96,643.27,641.02,638.27,638.27,0
2022-01-05,641.96,643.27,640.7,638.7,638.7,0
2022-01-06,642.17,642.68,641.36,638.7,638.7,0
2022-01-07,642.17,643.43,641.32,638.7,638.7,0
2022-01-10,642.95,642.95,640.52,637.85,637.85,0
2022-01-11,641.75,642.22,637.97,640.78,640.78,0
2022-01-12,640.78,640.78,637.2,634.35,634.35,0
2022-01-13,637.89,638.95,635.09,632.25,632.25,0
2022-01-14,636.84,637.86,633.98,631.15,631.15,0
2022-01-17,634.59,634.85,632.27,631.15,631.15,0
2022-01-18,634.67,637.54,631.94,629.85,629.85,0
2022-01-19,634.02,634.26,632.0,630.1,630.1,0
2022-01-20,634.15,635.22,631.75,631.27,631.27,0
2022-01-21,634.73,635.14,632.76,631.27,631.27,0
2022-01-24,634.22,637.84,634.17,634.6,634.6,0
2022-01-25,636.92,640.42,636.2,636.85,636.85,0
2022-01-26,637.74,641.47,637.14,636.85,636.85,0
2022-01-27,639.83,643.02,639.83,638.85,638.85,0
2022-01-28,640.83,644.35,640.71,640.1,640.1,0
2022-01-31,641.46,644.52,640.41,640.1,640.1,0
2022-02-01,641.53,645.05,640.95,642.1,642.1,0
2022-02-02,643.42,646.05,642.01,641.97,641.97,0
2022-02-03,642.99,646.47,642.47,642.3,642.3,0
2022-02-04,643.47,646.16,643.12,642.3,642.3,0
2022-02-07,645.41,645.66,642.33,642.3,642.3,0
2022-02-08,643.47,646.15,641.88,641.85,641.85,0
2022-02-09,642.8,645.44,641.38,641.88,641.88,0
2022-02-10,642.81,645.44,641.6,641.88,641.88,0
2022-02-11,642.81,645.94,641.28,639.85,639.85,0
2022-02-14,643.27,644.42,638.95,637.85,637.85,0
2022-02-15,639.3,641.58,638.38,637.85,637.85,0
2022-02-16,639.3,641.42,638.38,637.35,637.35,0
2022-02-17,639.05,641.17,638.55,637.35,637.35,0
2022-02-18,639.05,640.67,638.38,637.35,637.35,0
2022-02-21,639.78,640.1,638.72,637.35,637.35,0
2022-02-22,639.05,642.17,638.63,638.35,638.35,0
2022-02-23,639.55,642.67,638.38,639.35,639.35,0
2022-02-24,640.55,642.55,639.34,640.1,640.1,0
2022-02-25,641.17,643.55,639.63,640.1,640.1,0
2022-02-28,640.88,644.78,640.01,641.1,641.1,0
2022-03-01,642.17,645.77,641.63,641.1,641.1,0
2022-03-02,642.17,645.85,641.63,641.1,641.1,0
2022-03-03,642.17,646.06,641.68,642.12,642.12,0
2022-03-04,643.43,647.44,642.65,643.35,643.35,0
2022-03-07,645.16,648.47,643.41,643.35,643.35,0
2022-03-08,644.05,651.44,644.03,647.88,647.88,0
2022-03-09,649.32,653.15,645.36,647.88,647.88,0
2022-03-10,649.32,653.64,649.32,647.88,647.88,0
2022-03-11,649.32,653.14,647.08,645.87,645.87,0
2022-03-14,650.67,651.3,643.78,641.85,641.85,0
2022-03-15,643.78,646.45,639.65,638.1,638.1,0
2022-03-16,639.65,643.45,639.1,638.1,638.1,0
2022-03-17,639.65,644.31,639.26,640.62,640.62,0
2022-03-18,641.93,646.16,641.28,643.32,643.32,0
2022-03-21,645.35,649.42,643.97,645.85,645.85,0
2022-03-22,647.28,651.35,646.35,648.7,648.7,0
2022-03-23,649.55,655.41,647.46,650.82,650.82,0
2022-03-24,652.23,655.47,651.83,650.82,650.82,0
2022-03-25,652.23,656.96,651.95,653.92,653.92,0
2022-03-28,655.6,658.81,654.69,653.92,653.92,0
2022-03-29,656.65,659.15,655.21,653.92,653.92,0
2022-03-30,655.39,661.64,655.38,653.92,653.92,0
2022-03-31,655.39,664.74,655.39,653.92,653.92,0
2022-04-01,655.39,666.14,655.39,662.07,662.07,0
2022-04-04,666.14,666.53,659.11,657.07,657.07,0
2022-04-05,659.11,663.09,655.36,653.57,653.57,0
2022-04-06,655.36,659.19,655.36,655.38,655.38,0
2022-04-07,656.26,661.18,655.87,655.38,655.38,0
2022-04-08,656.26,660.43,655.33,654.83,654.83,0
2022-04-11,655.74,657.89,653.33,654.83,654.83,0
2022-04-12,655.74,657.41,651.89,649.92,649.92,0
2022-04-13,651.89,654.43,651.42,649.92,649.92,0
2022-04-14,651.89,653.46,650.41,649.92,649.92,0
2022-04-15,651.89,653.96,650.41,649.92,649.92,0
2022-04-18,651.89,654.26,650.52,650.17,650.17,0
2022-04-19,651.76,655.59,650.52,651.17,651.17,0
2022-04-20,652.76,655.94,652.17,651.17,651.17,0
2022-04-21,652.76,659.04,652.22,656.08,656.08,0
2022-04-22,657.61,661.28,656.47,656.08,656.08,0
2022-04-25,658.17,663.91,657.13,659.83,659.83,0
2022-04-26,661.74,663.41,657.88,659.83,659.83,0
2022-04-27,661.74,664.75,661.53,659.78,659.78,0
2022-04-28,661.71,666.53,661.71,659.78,659.78,0
2022-04-29,661.71,667.03,661.46,659.78,659.78,0
2022-05-02,661.71,668.63,661.71,664.25,664.25,0
2022-05-03,665.63,668.13,664.5,664.25,664.25,0
2022-05-04,665.63,667.63,662.8,662.83,662.83,0
2022-05-05,664.24,667.41,663.83,662.74,662.74,0
2022-05-06,664.24,668.92,664.08,663.57,663.57,0
2022-05-09,667.51,670.66,664.61,666.33,666.33,0
2022-05-10,668.49,670.66,667.83,666.33,666.33,0
2022-05-11,668.49,672.05,667.29,664.44,664.44,0
2022-05-12,669.61,672.48,667.29,668.08,668.08,0
2022-05-13,669.61,675.08,669.61,668.08,668.08,0
2022-05-16,672.59,673.58,669.08,668.08,668.08,0
2022-05-17,669.61,673.17,668.74,666.83,666.83,0
2022-05-18,668.74,672.53,668.53,667.37,667.37,0
2022-05-19,669.06,674.11,669.06,669.82,669.82,0
2022-05-20,671.23,676.4,671.03,669.82,669.82,0
2022-05-23,675.88,677.68,671.23,672.32,672.32,0
2022-05-24,672.98,677.85,672.83,672.57,672.57,0
2022-05-25,675.18,679.43,672.88,672.57,672.57,0
2022-05-26,673.11,680.03,673.11,674.82,674.82,0
2022-05-27,675.48,682.44,675.48,674.82,674.82,0
2022-05-30,679.96,680.96,675.48,674.82,674.82,0
2022-05-31,675.48,686.31,675.48,681.52,681.52,0
2022-06-01,682.78,689.45,682.78,681.52,681.52,0
2022-06-02,682.78,689.95,682.78,681.52,681.52,0
2022-06-03,682.78,693.8,682.78,681.52,681.52,0
2022-06-06,692.68,692.68,682.78,682.58,682.58,0
2022-06-07,684.36,687.77,682.11,680.08,680.08,0
2022-06-08,682.11,686.09,682.11,680.08,680.08,0
2022-06-09,682.11,688.04,682.11,685.08,685.08,0
2022-06-10,686.61,689.15,684.72,682.77,682.77,0
2022-06-13,688.36,688.36,683.04,681.33,681.33,0
2022-06-14,683.04,685.28,682.82,681.33,681.33,0
2022-06-15,683.04,686.03,682.67,682.07,682.07,0
2022-06-16,683.61,686.03,683.08,682.07,682.07,0
2022-06-17,683.61,689.78,683.52,685.57,685.57,0
2022-06-20,687.28,690.61,685.1,685.57,685.57,0
2022-06-21,685.78,693.53,684.41,689.07,689.07,0
2022-06-22,690.61,695.08,686.48,690.3,690.3,0
2022-06-23,691.22,696.1,690.13,690.07,690.07,0
2022-06-24,691.36,696.38,690.78,689.85,689.85,0
2022-06-27,694.84,694.88,687.99,686.33,686.33,0
2022-06-28,687.99,692.96,686.48,685.32,685.32,0
2022-06-29,686.48,689.59,686.15,685.32,685.32,0
2022-06-30,686.48,689.3,685.86,684.58,684.58,0
2022-07-01,685.86,689.88,685.85,686.08,686.08,0
2022-07-04,687.11,690.09,686.71,686.08,686.08,0
2022-07-05,687.11,690.67,686.4,686.08,686.08,0
2022-07-06,687.11,690.84,686.95,686.08,686.08,0
2022-07-07,687.11,691.61,686.95,686.08,686.08,0
2022-07-08,687.11,691.08,686.95,686.08,686.08,0
2022-07-11,687.11,690.52,686.82,686.08,686.08,0
2022-07-12,687.11,690.18,685.96,686.08,686.08,0
2022-07-13,687.11,690.18,684.97,682.92,682.92,0
2022-07-14,685.53,685.53,682.52,682.98,682.98,0
2022-07-15,682.98,684.61,681.05,682.98,682.98,0
2022-07-18,682.98,687.03,678.33,682.98,682.98,0
2022-07-19,682.98,682.98,677.47,675.09,675.09,0
2022-07-20,677.47,680.04,674.49,670.5,670.5,0
2022-07-21,675.5,676.52,671.53,670.33,670.33,0
2022-07-22,671.99,674.22,671.28,670.08,670.08,0
2022-07-25,671.61,674.22,671.41,670.08,670.08,0
2022-07-26,671.61,673.1,670.3,669.33,669.33,0
2022-07-27,670.49,673.83,668.78,667.83,667.83,0
2022-07-28,668.79,673.41,668.4,667.83,667.83,0
2022-07-29,668.79,673.17,668.23,666.83,666.83,0
2022-08-01,671.42,673.17,668.23,666.83,666.83,0
2022-08-02,668.29,673.0,668.23,666.83,666.83,0
2022-08-03,668.29,672.0,667.87,666.83,666.83,0
2022-08-04,668.29,672.5,667.87,666.33,666.33,0
2022-08-05,668.04,672.5,668.04,666.33,666.33,0
2022-08-08,670.13,672.0,668.04,666.33,666.33,0
2022-08-09,668.04,672.17,668.04,667.83,667.83,0
2022-08-10,668.79,672.48,668.62,667.83,667.83,0
2022-08-11,668.79,672.55,668.47,668.33,668.33,0
2022-08-12,669.04,672.47,667.04,666.33,666.33,0
2022-08-15,667.04,672.0,666.17,666.33,666.33,0
2022-08-16,667.04,669.66,664.24,662.83,662.83,0
2022-08-17,664.24,669.33,660.31,658.88,658.88,0
2022-08-18,660.31,665.53,654.79,653.83,653.83,0
2022-08-19,654.79,661.0,652.06,650.38,650.38,0
2022-08-22,652.06,657.0,646.31,644.88,644.88,0
2022-08-23,646.31,652.5,640.5,639.0,639.0,0
2022-08-24,640.5,647.5,634.78,633.85,633.85,0
2022-08-25,634.78,644.5,631.4,631.1,631.1,0
2022-08-26,631.4,637.0,631.11,632.97,632.97,0
2022-08-29,636.16,643.67,631.79,639.35,639.35,0
2022-08-30,640.03,645.07,638.65,639.35,639.35,0
2022-08-31,640.03,651.5,635.85,639.35,639.35,0
2022-09-01,640.03,657.0,640.03,648.35,648.35,0
2022-09-02,650.17,661.5,650.17,657.83,657.83,0
2022-09-05,658.74,662.5,657.93,657.83,657.83,0
2022-09-06,658.74,662.5,655.58,654.5,654.5,0
2022-09-07,655.58,661.62,655.37,654.33,654.33,0
2022-09-08,655.49,661.62,650.99,649.33,649.33,0
2022-09-09,650.99,661.5,644.92,643.6,643.6,0
2022-09-12,649.91,651.5,636.21,634.47,634.47,0
2022-09-13,636.21,642.8,631.03,630.35,630.35,0
2022-09-14,631.03,642.5,630.85,630.35,630.35,0
2022-09-15,631.03,635.04,630.72,630.35,630.35,0
2022-09-16,631.03,634.5,629.35,627.0,627.0,0
2022-09-19,629.35,634.0,629.35,627.0,627.0,0
2022-09-20,629.35,633.44,628.89,629.88,629.88,0
2022-09-21,630.57,633.57,628.89,629.88,629.88,0
2022-09-22,630.57,636.5,629.72,630.13,630.13,0
